Sr.NO,Name ,Inwards Qty,Outwards Qty,Net Movement,Stock Turnover Rate
254,"EBCO-T.CHANNEL-14""",0.0,1.0,-1.0,999999999.9999999
255,Ebco T Channels Soft Close  24'',10.0,0.0,10.0,0.0
256,"GODREJ-7088-DRAWER CHANNEL-SOFTCLOSE-22""-550MM",30.0,30.0,0.0,0.9999999999666667
257,"GODREJ-T.CHANNEL-10""",0.0,34.0,-34.0,33999999999.999996
258,"GODREJ-T CHANNEL-8174-12""",0.0,93.0,-93.0,93000000000.0
259,"GODREJ-T CHANNEL-8175-14""",0.0,159.0,-159.0,159000000000.0
260,"GODREJ-T CHANNEL-8176-16""",0.0,129.0,-129.0,128999999999.99998
261,"GODREJ-T CHANNEL-8177-18""",50.0,69.0,-19.0,1.3799999999724002
262,"GODREJ-T CHANNEL-8178-20""",80.0,94.0,-14.0,1.1749999999853125
263,"GODREJ-T CHANNEL-8179-22""",1.0,10.0,-9.0,9.99999999
264,"GODREJ-T CHANNEL-8180-24""",0.0,10.0,-10.0,10000000000.0
265,GODREJ - T  CHANNEL SOFT CLOSE - 16'',40.0,35.0,5.0,0.874999999978125
266,GODREJ - T  CHANNEL SOFT CLOSE - 18'',10.0,7.0,3.0,0.69999999993
267,TOWER BOLT,0.0,78.0,-78.0,78000000000.0
268,"6"" BRASS MATKA TOWER BOLT",1.0,2.0,-1.0,1.9999999979999998
269,"DENIM- TOWER BOLT- MATKA- 8""- BEASS",1.0,0.0,1.0,0.0
270,G STAR S.S  L TOWER BOLT 6'',0.0,8.0,-8.0,7999999999.999999
271,G STAR S.S TOWER BOLT 4'',0.0,20.0,-20.0,20000000000.0
272,G STAR S.S TOWER BOLT 6'',0.0,3.0,-3.0,3000000000.0
273,G STAR S.S TOWER BOLT 8'',0.0,2.0,-2.0,1999999999.9999998
274,"MILL.-TOWER BOLT-ALUM.-MT.-4""-12MM",0.0,2.0,-2.0,1999999999.9999998
275,"NAMYA-T.BOLT-MARBLE-BRASS-12""",0.0,1.0,-1.0,999999999.9999999
276,"NAMYA-TOWER BOLT-8""-BRASS-SS",0.0,2.0,-2.0,1999999999.9999998
277,"STAR-TOWER BOLT-CAPSULE-4""-SS",0.0,-2.0,2.0,-1999999999.9999998
278,"STAR-TOWER BOLT-CAPSULE.-6""SS",0.0,1.0,-1.0,999999999.9999999
279,"STAR-TOWER BOLT-ROYAL-4""-SS",0.0,2.0,-2.0,1999999999.9999998
280,"STAR-TOWER BOLT-ROYAL.-6""-SS",0.0,1.0,-1.0,999999999.9999999
281,T-PATTY,0.0,1.0,-1.0,999999999.9999999
282,T-PATTI-8MM-ROSE GOLD,0.0,1.0,-1.0,999999999.9999999
283,VICER,0.0,24.0,-24.0,24000000000.0
284,Vicer 3/4,0.0,24.0,-24.0,24000000000.0
285,EBCO - TM 6035 ( TABLE MAT ),3.0,3.0,0.0,0.9999999996666666
286,BC - CUTEER MACHINE,5.0,4.0,1.0,0.79999999984
287,BLUECOAT - WP1 - 1 KG,0.0,9.0,-9.0,9000000000.0
288,Bluefix Epoxy Adhesive Tez (180gm),0.0,1.0,-1.0,999999999.9999999
289,BLUEFIX EPOXY ADHESIVE TEZ ( 90 GMS),0.0,0.0,0.0,0.0
290,BONDTITE-FAST & CLEAR-13GM,0.0,1.0,-1.0,999999999.9999999
291,BONDTITE-SUPERSTRENGTH-13GM,0.0,0.0,0.0,0.0
